pl_name,pl_rade,pl_bmasse,disc_year,st_teff,pl_eqt,pl_orbsmax,pl_orbper
GJ 143 b,2.61,22.7,2019,4640.0,422.0,0.1915,35.61253
GJ 3090 b,2.13,3.34,2022,3556.0,693.0,0.03165,2.8531054
GJ 3470 b,4.2,14.0,2012,3600.0,615.0,0.0348,3.33714
GJ 3470 b,4.57,13.9,2012,3600.0,593.5,0.0355,3.3366496
GJ 3470 b,3.88,13.73,2012,3652.0,604.0,0.031,3.3366487
GJ 3473 b,1.264,1.86,2020,3347.0,773.0,0.01589,1.1980035
GJ 357 b,1.217,1.84,2019,3505.0,525.0,0.035,3.93072
GJ 367 b,0.718,0.546,2021,3522.0,1745.0,0.0071,0.321962
GJ 367 b,0.699,0.633,2021,3522.0,1365.0,0.00709,0.3219225
GJ 3929 b,1.09,1.75,2022,3384.0,568.0,0.0252,2.616235
GJ 3929 b,1.15,1.21,2022,3369.0,568.8,0.02569,2.6162745
GJ 414 A b,2.63,7.6,2021,4120.0,308.6,0.2324,50.8
GJ 414 A c,8.4,53.83,2021,4120.0,124.7,1.4,749.83
GJ 436 b,4.1910451,23.138024,2004,3350.0,686.0,0.03109,2.64389788
GJ 436 b,4.091285,23.424071,2004,3500.0,669.0,0.02887,2.64389524
GJ 436 b,4.2224,23.1688,2004,3350.0,649.0,0.02872,2.64385
GJ 486 b,1.343,3.0,2021,3291.0,706.0,0.01713,1.4671205
GJ 486 b,1.305,2.82,2021,3340.0,701.0,0.01734,1.467119
GJ 486 b,1.289,2.77,2021,3317.0,696.3,0.01714,1.46712127
GJ 806 b,1.331,1.9,2023,3600.0,940.0,0.01406,0.9263237
GJ 9827 b,1.62,3.42,2017,4269.0,1172.0,0.01888,1.2089802
GJ 9827 b,1.577,5.14,2017,4305.0,1175.0,0.0188,1.2089819
GJ 9827 b,1.58,3.69,2017,4219.0,1114.0,0.0206,1.208966
GJ 9827 b,1.44,4.28,2017,4236.0,1035.01,0.0189,1.208974
GJ 9827 c,1.269,2.42,2017,4269.0,811.0,0.03942,3.648083
GJ 9827 c,1.241,1.3,2017,4305.0,813.0,0.03925,3.648096
GJ 9827 c,1.24,1.45,2017,4219.0,771.0,0.0429,3.64823
GJ 9827 c,1.13,1.86,2017,4236.0,715.94,0.0395,3.648103
GJ 9827 d,1.98,3.02,2017,4236.0,675.0,0.053,6.20183
GJ 9827 d,2.022,3.53,2017,4305.0,681.0,0.0559,6.20147
GJ 9827 d,2.04,2.35,2017,4219.0,646.0,0.0611,6.20142
GJ 9827 d,1.89,3.02,2017,4236.0,599.68,0.0563,6.201812
GJ 9827 d,2.07,5.2,2017,4269.0,680.0,0.05615,6.201467
GPX-1 b,16.47720163,6261.2196179,2021,7000.0,2300.0,0.0338,1.744579
Gliese 12 b,0.9,10.0,2024,3253.0,315.0,0.067,12.76142
Gliese 12 b,0.958,3.87,2024,3296.0,314.6,0.0668,12.761408
HAT-P-1 b,13.641353,166.54292,2006,5975.0,1291.0,0.05535,4.4652934
HAT-P-1 b,14.784671,168.13207,2006,5980.0,1322.0,0.05561,4.4652968
HAT-P-1 b,13.921578,169.08556,2006,5975.0,1306.0,0.0553,4.46543
HAT-P-1 b,14.784671,166.86075,2006,5980.0,1322.0,0.05561,4.46529976
HAT-P-11 b,4.73,25.743,2008,4780.0,878.0,0.053,4.8878162
HAT-P-11 b,4.901,25.0,2008,4780.0,847.0,0.0532,4.887802443
HAT-P-11 b,4.449973,26.69772,2008,4780.0,838.0,0.05259,4.88781501
HAT-P-12 b,10.301071,63.88383,2009,4665.0,955.0,0.03767,3.21305992
HAT-P-12 b,10.749,67.059,2009,4650.0,963.0,0.0384,3.2130598
HAT-P-13 b,16.667783,287.95398,2009,5653.0,1740.0,0.0431,2.9162382
HAT-P-13 b,14.359,271.098,2009,5653.0,1653.0,0.0427,2.91626
HAT-P-14 b,13.663771,721.79193,2010,6600.0,1624.0,0.06108,4.6276691
HAT-P-14 b,13.4508,724.6524,2010,6583.0,1612.0,0.0596,4.627649
HAT-P-14 b,12.89,709.367,2010,6600.0,1570.0,0.0606,4.627669
HAT-P-15 b,12.016,618.471,2010,5568.0,904.0,0.0964,10.863502
HAT-P-16 b,13.33871,1331.38987,2010,6158.0,1571.0,0.0413,2.775970244
HAT-P-16 b,14.448,1332.605,2010,6158.0,1626.0,0.0413,2.77596
HAT-P-17 b,11.321,169.71,2010,5246.0,792.0,0.0882,10.338523
HAT-P-18 b,11.153,62.61,2010,4803.0,852.0,0.0559,5.508023
HAT-P-18 b,10.614923,62.29468,2010,4870.0,841.0,0.0559,5.507978
HAT-P-19 b,12.689,92.802,2010,4990.0,1010.0,0.0466,4.008778
HAT-P-19 b,11.29865255,88.03846874,2010,4962.0,981.2,0.04599,4.00878322
HAT-P-2 b,13.33871,2777.8342,2007,6290.0,1516.0,0.0674,5.6334729
HAT-P-2 b,11.242627,2771.4776,2007,6290.0,1398.0,0.0679,5.63332
HAT-P-2 b,12.969,2888.95,2007,6290.0,1540.0,0.06878,5.6334729
HAT-P-2 b,12.3,2828.6,2007,6300.0,1700.0,0.068,5.6
HAT-P-20 b,11.489225,2294.7326,2010,4595.0,964.0,0.03593,2.875316938
HAT-P-20 b,9.718,2302.899,2010,4595.0,970.0,0.0361,2.875317
HAT-P-20 b,9.75,2320.1,2010,4600.0,950.0,0.036,2.9
HAT-P-21 b,11.478,1291.289,2010,5588.0,1283.0,0.0494,4.124481
HAT-P-22 b,11.88154,696.68336,2010,5314.0,1293.0,0.04171,3.21223328
HAT-P-22 b,12.106,682.352,2010,5302.0,1283.0,0.0414,3.21222
HAT-P-22 b,12.10572,682.69884,2010,5302.0,1463.0,0.0414,3.2122312
HAT-P-23 b,15.334,664.237,2010,5905.0,2056.0,0.0232,1.212884
HAT-P-23 b,13.72,658.0,2010,5885.0,1951.0,0.02302,1.21288287
HAT-P-24 b,13.922,217.704,2010,6373.0,1637.0,0.0465,3.35524
HAT-P-25 b,12.722215,180.84527,2010,5519.0,1182.0,0.0466,3.65281514
HAT-P-25 b,13.339,180.202,2010,5500.0,1202.0,0.0466,3.652836
HAT-P-26 b,6.333,18.751,2010,5079.0,1001.0,0.0479,4.234516
HAT-P-28 b,13.585,198.953,2011,5680.0,1384.0,0.0434,3.257215
HAT-P-29 b,12.408,247.261,2011,6087.0,1260.0,0.0667,5.723186
HAT-P-29 b,11.926376,243.77561,2011,6115.0,1271.0,0.0665,5.72339
HAT-P-3 b,10.076891,189.42668,2007,5185.0,1127.0,0.03882,2.899703
HAT-P-3 b,10.614923,185.61272,2007,5185.0,1189.0,0.03842,2.899736
HAT-P-3 b,10.211399,189.10885,2007,5190.0,1170.0,0.03878,2.89973838
HAT-P-30 b,15.02,225.968,2011,6304.0,1630.0,0.0419,2.810595
HAT-P-31 b,11.99,689.98,2011,6065.0,1450.0,0.055,5.005425
HAT-P-32 b,20.053,273.322,2011,6207.0,1786.0,0.0343,2.150008
HAT-P-32 b,22.19382,216.1244,2011,6001.0,1835.7,0.03397,2.1500082
HAT-P-33 b,18.898,242.176,2011,6446.0,1782.0,0.0499,3.474474
HAT-P-34 b,13.417,1057.694,2011,6442.0,1520.0,0.0677,5.452654
HAT-P-35 b,14.93,334.979,2011,6096.0,1581.0,0.0498,3.646706
HAT-P-36 b,14.168,582.24,2011,5560.0,1823.0,0.0238,1.327347
HAT-P-36 b,15.210613,611.82275,2011,5560.0,1820.2,0.02402,1.3273466
HAT-P-36 b,14.616536,588.62116,2011,5620.0,1788.0,0.02388,1.32734683
HAT-P-36 b,14.313893,587.413406,2011,5620.0,1780.97,0.0241,1.32734683
HAT-P-37 b,13.204,371.528,2011,5500.0,1271.0,0.0379,2.797436
