pl_rade,pl_bmasse
12.77826,362.3262
3.39512346,9.6
3.41,10.0
3.39,10.4
3.1823776,6.1
3.195,8.0
3.08,7.2
2.995,2.8
3.1168896,2.2
3.04,5.8
17.317905,323.23311
1.72,7.42
2.25,6.1
2.501,14.4
2.34302132,14.8
15.46842,226.93062
15.233,217.704
15.24424,219.3027
1.745,8.83
2.697,17.7
0.892,3.7
1.602,4.74
1.511,4.36
1.61,16.17
1.31,7.3
4.71,16.6
4.898,17.6
2.607,26.57
2.0,8.32
1.87,3.41
0.75,0.55
0.818,0.72
1.137,0.77
2.07506422,4.2
2.62,8.5
2.54535814,8.7
1.5,4.1
1.36354953,4.3
1.24,2.14
1.533,3.09
16.14096,371.8611
2.199,18.496
4.23,7.943
3.25,5.681
1.67,4.97
1.574,5.69
1.627,4.73
3.0,11.13
2.923,10.67
2.74,8.33
9.07303305,74.1
9.718203,77.55052
2.54,11.32
3.41,9.1
3.48,9.6
3.42633318,5.9
3.36,5.8
2.45,7.8
2.42763557,10.0
2.45,10.8
2.16351593,37.3
2.58229101,17.2
2.99,10.8
2.91575244,10.5
3.06451296,11.1
2.9,11.1
2.884,10.48
2.84,15.9
2.79,10.2
2.73,22.5
2.39,9.7
2.89646124,10.9
11.242627,1307.55262
1.613,5.72
2.16,7.25
2.49,17.2
7.39794,34.9613
7.263432,38.45743
6.86,35.7
1.46954368,2.8
1.35,7.8
3.228,19.2
3.11976057,18.4
3.89,42.44
2.12,8.3
2.247,7.55
2.53,11.82
2.53,10.1
2.469,9.7
1.551,4.5
1.58,4.5
1.37,5.1
1.538,5.14
22.75427,1021.18779
16.8135,2860.47
2.53625843,8.9
2.56,7.8
2.52442508,10.7
2.48,9.4
3.0,379.0
3.75,8.4
3.82838127,8.3
3.9,10.0
3.42855926,7.0
3.34,7.9
3.343,18.3
2.74,20.0
2.4801338,19.1
2.004,3.55
1.979,3.8
2.001,7.1
13.11453,3178.3
3.88,21.8
16.14096,266.9772
5.28,59.4
2.592,15.9
2.592,16.7
1.82,5.58
1.9,8.6
10.42437,410.0007
10.59248676,638.83509807
10.558878,587.9855
10.44677001,638.83509807
11.80305668,321.00669107
12.498035,266.9772
2.44,5.2
1.69,7.9
12.206601,157.32585
1.014,4.3
3.0,18.1
1.565,3.0
0.89,158.915
9.056872,123.00021
12.273855,323.86877
13.56286665,295.58041851
1.54,5.31
