st_teff,pl_eqt,pl_rade,pl_orbsmax
5620.0,1780.97,14.313893,0.0241
5500.0,1271.0,13.204,0.0379
5330.0,1082.0,9.247,0.0523
6430.0,1752.0,17.609,0.0509
5860.0,1691.0,14.986433,0.04465
5860.0,1686.0,14.28,0.04438
6080.0,1770.0,19.392,0.0608
6390.0,1941.0,18.887,0.0426
5743.0,1428.0,14.348,0.0575
5645.0,1361.0,14.359,0.0443
5295.0,1108.0,13.922,0.0507
6330.0,1652.0,15.984,0.0452
6120.0,1458.0,14.392,0.0577
6820.0,2131.0,15.838,0.0438
5960.0,1539.0,14.056086,0.04071
6280.0,1862.0,14.437192,0.0453
5449.0,1192.0,14.493237,0.05069
5453.0,1168.2,13.50682174,0.05042
5131.0,1218.0,11.309881,0.03694
5956.0,1778.0,14.773462,0.03159
4390.0,818.0,10.581296,0.04117
5808.0,1313.0,13.249038,0.04604
5804.0,1367.0,14.84069045,0.04628
6566.0,1840.0,16.432394,0.0423
7500.0,2200.0,15.838317,0.0406
6078.0,1622.0,14.93036229,0.04994
5678.0,1277.8,12.58768533,0.05064
6570.0,1675.0,14.90797,0.05237
6570.0,1704.0,15.636555,0.05244
6212.0,1772.0,18.28184752,0.06277
5587.0,1505.0,10.07687365,0.0301
5629.0,1512.0,12.02723629,0.03772
5400.0,1237.0,12.5428494,0.04294
6457.0,1766.0,19.08889413,0.05387
5835.0,1930.0,21.18501,0.03951
5872.0,1818.0,18.05766791,0.04042
6002.0,1896.0,17.82231,0.04363
6406.0,1903.0,23.370765,0.06505
4508.0,1027.8,12.016048,0.02996
7394.0,1930.0,18.786284,0.06555
6532.23,2733.0,15.043,0.0377
6441.0,2700.0,16.712619,0.03676
6350.0,2200.0,15.905571,0.0355
6350.0,2194.0,16.421185,0.03805
8450.0,2562.0,20.96083,0.04739
6200.0,1700.0,16.81,0.0487
6350.0,1540.0,15.46842,0.0529
6350.0,1540.0,15.614137,0.05287
6350.0,1530.0,15.69,0.053
5870.0,1359.0,14.594,0.0444
5880.0,1407.0,10.861521,0.04491
6060.0,1637.0,16.92559,0.04614
6408.0,2097.0,15.13215,0.04795
5523.0,1244.0,13.585308,0.04057
5346.0,1276.0,11.646151,0.03815
5311.0,1505.0,12.385945,0.02712
5738.0,1592.0,14.5717,0.03744
5846.0,814.0,8.709393,0.1308
5600.0,2060.0,14.986433,0.01761
5600.0,2069.48,14.896761,0.0174
5227.0,1577.0,13.092,0.023
4803.0,858.0,10.682177,0.05025
5780.0,1654.0,20.84874,0.03397
6125.0,2166.0,15.636555,0.0238
6346.0,2067.0,16.667783,0.02547
5715.0,1277.0,14.12334,0.05163
6071.0,1918.0,19.61575,0.04735
6438.0,1659.0,16.8135,0.0611
5498.0,1253.0,13.383546,0.04131
5670.0,1212.0,14.022459,0.05475
6351.0,1648.0,15.48,0.0485
5943.0,1414.0,13.170575,0.04354
6050.0,1823.0,18.38276,0.0478
5700.0,1437.0,14.000041,0.04024
5659.0,1429.0,13.78707,0.03727
5380.0,1445.0,16.02887,0.03166
6300.0,2037.0,16.409976,0.03199
6149.0,1356.0,13.843115,0.05425
5326.0,1085.0,6.792654,0.04913
5732.0,1294.0,6.882326,0.05036
6572.0,1645.0,17.59813,0.06007
5403.0,1315.0,11.433,0.0362
6460.0,2101.0,17.71022,0.04997
6424.0,1710.0,14.90797,0.0583
6060.0,1856.0,15.6926,0.03689
5099.0,1003.0,13.22662,0.04944
5080.0,1161.0,11.960003,0.03649
6450.0,1518.0,14.414774,0.05511
5495.0,1054.0,10.121727,0.05367
4512.0,852.9,12.520453,0.04269
4546.0,954.6,8.9672,0.03769
4405.0,834.8,8.574885,0.04515
5304.0,1025.0,10.223,0.0542
5758.0,1553.0,15.80469,0.04639
6010.0,1834.0,15.490838,0.02498
5644.0,1312.0,15.02006,0.04753
5621.0,1429.0,11.37711541,0.037
5702.0,1625.0,11.960003,0.03763
6214.0,1367.0,14.022459,0.05412
6536.0,1902.0,18.920792,0.06043
5587.0,1413.4,12.767051,0.03493
7175.0,1721.0,12.273855,0.05798
5670.0,1128.0,12.621334,0.06112
3724.0,712.8,11.186582,0.03623
5688.0,1528.0,12.923977,0.04708
5542.0,1226.1,13.394755,0.07908
5416.0,1237.0,11.825495,0.04163
5627.0,1398.3,13.529263,0.04026
6554.0,1793.0,18.819911,0.06562
6277.0,1634.0,16.824709,0.04497
6626.0,1998.0,15.815899,0.04714
6594.0,2193.0,18.887165,0.03032
6147.0,1741.0,13.809488,0.05071
5137.0,1295.7,10.592505,0.03211
4985.0,1084.0,6.310667,0.04012
7930.0,2730.0,15.513256,0.03632
3405.0,586.8,11.478016,0.03745
4656.1,739.3,8.0973816,0.066517
3776.9,895.1,11.56766808,0.02384
3790.4,772.3,9.90873894,0.032742
4016.0,939.8,12.09449018,0.02658
4071.0,828.3,13.05846252,0.03607
5679.0,1324.0,9.785457,0.04667
5366.0,1823.0,11.937585,0.03048
6327.0,1153.0,2.44,0.0907
6327.0,886.0,4.35,0.1536
5266.0,800.0,2.2,0.0793
5266.0,699.0,2.388,0.1039
5266.0,602.0,2.852,0.1362
5266.0,533.0,1.94,0.1785
5266.0,489.0,2.601,0.2163
5266.0,440.0,2.607,0.2621
5732.0,1371.0,2.05,0.035
5742.0,1361.0,12.778238,0.0713
5872.0,1360.0,12.06086323,0.08635
5788.0,1371.0,12.55405838,0.0701
5683.0,1494.0,12.73340208,0.07071
5698.0,750.83,2.5320132,0.12
5710.0,815.0,2.51,0.12
5850.0,911.0,1.482,0.0969
5664.0,905.0,1.664,0.0964
5850.0,682.0,2.608,0.1729
5664.0,677.0,2.916,0.1721
5664.0,431.0,2.562,0.425
5799.0,2130.0,1.31,0.02732
5521.0,1228.3,11.500434,0.1097
5474.0,1519.0,11.466807,0.1003
6160.0,1634.0,7.330686,0.04313
6147.0,1626.0,6.83749,0.04288
5131.0,1006.0,1.699,0.05245
5125.0,1001.0,1.64,0.0522
5131.0,656.1,2.522,0.1235
5125.0,642.0,2.39,0.1268
6079.0,883.0,11.937585,0.1637
5784.0,752.0,3.49,0.1322
5706.0,748.0,3.53,0.13
5788.0,769.0,3.55,0.1334
5083.0,863.0,2.7,0.05
5050.0,1191.0,12.901559,0.03142
5040.0,1201.0,12.756,0.03099
5050.0,1209.0,12.542871,0.03106
5385.0,818.69,3.39512346,0.079
5348.0,880.0,3.41,0.0804
5348.0,893.0,3.39,0.078
5385.0,554.51,3.1823776,0.171
5348.0,600.0,3.195,0.1752
5348.0,605.0,3.08,0.17
5348.0,540.0,2.995,0.2132
5385.0,502.73,3.1168896,0.209
5348.0,549.0,3.04,0.207
6272.0,2132.0,17.317905,0.05208
5596.0,2141.0,1.72,0.018
4819.0,743.0,2.25,0.0629
5070.0,632.2,2.501,0.1163
5106.0,581.75,2.34302132,0.117
6117.0,1459.0,15.46842,0.04747
6065.0,1449.0,15.233,0.04707
5978.0,2128.0,1.745,0.02012
5871.0,637.0,2.697,0.1726
4640.0,701.0,0.892,0.0695
4699.0,1015.0,1.602,0.03876
4699.0,782.0,1.511,0.0653
4699.0,410.5,1.61,0.237
4699.0,522.6,1.31,0.1463
5527.0,1073.0,4.71,0.06356
6169.0,546.0,2.607,0.2958
4684.0,543.0,2.0,0.1162
4684.0,467.0,1.87,0.1646
4684.0,909.0,0.75,0.04298
4684.0,723.0,0.818,0.068
4684.0,630.0,1.137,0.0906
5087.0,753.95,2.07506422,0.071
6220.0,1290.0,2.62,0.076
6353.0,1198.46,2.54535814,0.076
6220.0,1707.0,1.5,0.0435
6353.0,1585.57,1.36354953,0.0443
3803.0,709.0,1.24,0.02933
3803.0,557.0,1.533,0.04749
6801.0,2061.0,16.14096,0.0568
6120.0,881.2,2.199,0.1357
6120.0,585.2,4.23,0.308
6120.0,506.5,3.25,0.411
5261.0,1774.0,1.67,0.01796
5286.0,1759.0,1.574,0.01752
5300.0,1777.0,1.627,0.01802
5261.0,564.0,3.0,0.1776
5300.0,565.0,2.923,0.1783
5286.0,548.0,2.74,0.1806
6128.0,798.3,9.07303305,0.145
6089.0,876.0,9.718203,0.1436
5666.0,479.0,2.54,0.25
5289.0,716.0,3.41,0.111
5289.0,777.0,3.48,0.107
5323.0,703.39,3.42633318,0.11
5240.0,755.0,3.36,0.109
6203.0,943.0,2.45,0.1202
5934.0,1075.31,2.42763557,0.06
5920.0,1194.0,2.45,0.059
5634.0,886.44,2.16351593,0.072
5634.0,622.31,2.58229101,0.146
5513.0,825.22,2.91575244,0.083
5513.0,619.59,3.06451296,0.148
6252.6,911.0,2.884,0.131
4582.0,742.7,2.84,0.05995
4511.0,714.0,2.79,0.0604
4582.0,517.8,2.73,0.1233
4511.0,498.0,2.39,0.1242
6007.0,1128.86,2.89646124,0.073
5574.0,405.0,11.242627,0.4564
5959.0,2463.0,1.613,0.01661
5863.0,1311.0,2.16,0.049
5861.0,460.0,2.49,0.58
5576.0,1089.0,7.39794,0.1066
5622.0,1068.0,7.263432,0.1115
5499.0,1053.0,6.86,0.105
5908.0,1842.23,1.46954368,0.02061
5987.0,2042.0,1.35,0.02085
5987.0,1344.0,3.228,0.04813
5908.0,1212.45,3.11976057,0.04726
5212.0,385.0,3.89,0.262
5170.0,757.0,2.247,0.08
5089.0,690.0,2.53,0.0906
5089.0,745.0,2.53,0.07765
5048.0,753.2,2.469,0.0792
5289.0,1123.0,1.551,0.04518
5289.0,1217.0,1.58,0.0436
5289.0,998.0,1.37,0.0649
5289.0,920.0,1.538,0.0673
4590.0,1411.0,22.75427,0.01782
8840.0,1500.0,16.8135,92.0
5618.0,794.96,2.53625843,0.093
5530.0,855.0,2.56,0.092
5618.0,650.68,2.52442508,0.139
5530.0,699.0,2.48,0.138
5991.0,1060.0,3.0,0.0787
5550.0,685.0,3.75,0.144
5649.0,640.88,3.82838127,0.145
5609.0,663.4,3.9,0.1438
5649.0,470.31,3.42855926,0.269
5550.0,503.0,3.34,0.268
5609.0,486.9,3.343,0.2669
5198.0,757.0,2.74,0.089
5216.0,701.66,2.4801338,0.091
6354.0,1552.0,2.004,0.04888
6354.0,1309.0,1.979,0.0687
6354.0,1061.0,2.001,0.1046
7400.0,1150.0,13.11453,16.4
5945.0,1841.0,3.88,0.0301
6030.0,1780.0,16.14096,0.048
5474.0,1446.0,5.28,0.0573
5010.0,638.0,2.592,0.10207
5010.0,640.0,2.592,0.1021
5775.0,1309.0,1.82,0.0565
5730.0,1309.0,1.9,0.0621
5627.0,1178.0,10.42437,0.0558
4899.0,701.4,10.59248676,0.0944
5027.0,719.0,10.558878,0.09309
4920.0,701.0,10.44677001,0.0943
5870.0,696.0,11.80305668,0.1415
5560.0,682.0,12.498035,0.1367
5672.0,1026.0,2.44,0.0792
5120.0,2223.0,1.69,0.00936
4878.0,1586.0,12.206601,0.0916
4500.0,610.0,1.014,0.0707
4500.0,470.0,3.0,0.1185
4500.0,420.0,1.565,0.1538
3492.0,1471.0,0.89,0.0058
5340.0,565.0,9.056872,0.179
5654.0,1114.0,12.273855,0.0591
5585.0,962.0,13.56286665,0.068
4373.0,2039.0,1.54,0.00716
4570.0,2103.0,1.51,0.00747
4570.0,695.0,7.0,0.0683
5334.0,2432.0,0.935,0.00962
6011.0,1174.0,2.3,0.091
3457.0,284.0,2.37,0.1429
3457.0,235.0,2.38,0.143
